url,# of Pages,# of Products,Product Category
https://www.wonatrading.com/jewelry/stainless-steel,1,7,stainless-steel
https://www.wonatrading.com/jewelry/watch,1,84,watch
https://www.wonatrading.com/jewelry/jewelry-component,1,79,jewelry-component
https://www.wonatrading.com/jewelry/jewelry-display,1,34,jewelry-display
https://www.wonatrading.com/jewelry/anklet,2,114,anklet
https://www.wonatrading.com/jewelry/body-jewelry,2,132,body-jewelry
https://www.wonatrading.com/jewelry/pendant-set,3,290,pendant-set
https://www.wonatrading.com/jewelry/mask,4,389,mask
https://www.wonatrading.com/jewelry/brooch,7,687,brooch
https://www.wonatrading.com/jewelry/ring,8,796,ring
https://www.wonatrading.com/jewelry/cubic-zirconia,15,1407,cubic-zirconia
https://www.wonatrading.com/jewelry/necklace,73,7210,necklace
https://www.wonatrading.com/jewelry/bracelet,84,8357,bracelet
https://www.wonatrading.com/jewelry/earring,136,13536,earring
