Product Name,Category,Product Image File - 1,Product Image File - 2,Product Description,Cost Price
"12pairs - 3""l Stainless Steel Metal Hoop Pin Catch Earrings",DZ PACKED;EARRINGS/,images/20200710/PKE3332-@GS@3L@482542@675@05.jpg,images/20200710/des_img/PKE3332-@GS@3L@482542@675@05@1.jpg,"Style No : 482542 Color : Gold, Rhodium  Size : 3"" L (80mm) Pin Catch 12Pairs - 3""L Stainless Steel Metal Hoop Pin Catch Earrings",6.75
"12pairs - 2.4""l Stainless Steel Metal Hoop Pin Catch Earrings",DZ PACKED;EARRINGS/,images/20200710/PKE3330-@GS@24L@482541@675@04.jpg,images/20200710/des_img/PKE3330-@GS@24L@482541@675@04@1.jpg,"Style No : 482541 Color : Gold, Rhodium  Size : 2.4"" L (60mm) Pin Catch 12Pairs - 2.4""L Stainless Steel Metal Hoop Pin Catch Earrings",6.75
"12pairs - 2""l Stainless Steel Metal Hoop Pin Catch Earrings",DZ PACKED;EARRINGS/,images/20200710/PKE3329-@GS@2L@482540@675@035.jpg,images/20200710/des_img/PKE3329-@GS@2L@482540@675@035@1.jpg,"Style No : 482540 Color : Gold, Rhodium  Size : 2"" L (50mm) Pin Catch 12Pairs - 2""L Stainless Steel Metal Hoop Pin Catch Earrings",6.75
Crystal Round Stainless Steel Metal Hinged Bracelet,JEWELRY;BRACELET/METAL,images/20190103/MB4030-SV-HGD-025H-225D-421538-550-01.jpg,images/20190103/des_img/MB4030-SV-HGD-025H-225D-421538-550-01-1.jpg,"Style No : 421538 Color : Clear, Silver  Size : 0.25"" H, 2.25"" D Hinged Closure Lead and Nickel Compliant Crystal Round Stainless Steel Metal Hinged Bracelet",5.50
Crystal Round Stainless Steel Metal Hinged Bracelet,JEWELRY;BRACELET/METAL,images/20190103/MB4030-GD-HGD-025H-225D-421537-550-01.jpg,images/20190103/des_img/MB4030-GD-HGD-025H-225D-421537-550-01-1.jpg,"Style No : 421537 Color : Clear, Gold  Size : 0.25"" H, 2.25"" D Hinged Closure Lead and Nickel Compliant Crystal Round Stainless Steel Metal Hinged Bracelet",5.50
Crystal Round Stainless Steel Metal Hinged Bracelet,JEWELRY;BRACELET/METAL,images/20190103/MB4028-RG-HGD-015H-225D-421536-550-01.jpg,images/20190103/des_img/MB4028-RG-HGD-015H-225D-421536-550-01-1.jpg,"Style No : 421536 Color : Clear, Rose Gold   Size : 0.15"" H, 2.25"" D Hinged Closure Lead and Nickel Compliant Crystal Round Stainless Steel Metal Hinged Bracelet",5.50
Two Tone Rhinestone Metal Stainless Steel Huggie Earrings,JEWELRY;EARRING/METAL W/ STONE,images/20170906/MSE1013-G-05D-7mm-359465-300-01.jpg,,"Style No : 359465 Color : Gold  Size : 0.5"" D, 6mm Stainless Steel Two Tone Rhinestone Metal Stainless Steel Huggie Earrings",3.00
Analog Dial Simple Metal Cuff Watch,JEWELRY;WATCH/,images/20200130/WA15430-@SILVER@CUFF-08D-2D@474101@975@03.jpg,images/20200130/des_img/WA15430-@SILVER@CUFF-08D-2D@474101@975@03@1.jpg,"Style No : 474101 Color : Silver  Size : 0.8"" D (Dial), 22"" D (Cuff) Cuff Analog Dial Simple Metal Cuff Watch",9.75
Analog Dial Simple Metal Cuff Watch,JEWELRY;WATCH/,images/20200130/WA15430-@GOLD@CUFF-08D-2D@474102@975@03.jpg,images/20200130/des_img/WA15430-@GOLD@CUFF-08D-2D@474102@975@03@1.jpg,"Style No : 474102 Color : Gold, Silver  Size : 0.8"" D (Dial), 22"" D (Cuff) Cuff Analog Dial Simple Metal Cuff Watch",9.75
Analog Dial Simple Metal Cuff Watch,JEWELRY;WATCH/,images/20200130/WA15430-@ROSE_GOLD@CUFF-08D-2D@474103@975@03.jpg,images/20200130/des_img/WA15430-@ROSE_GOLD@CUFF-08D-2D@474103@975@03@1.jpg,"Style No : 474103 Color : Rose Gold , Silver  Size : 0.8"" D (Dial), 22"" D (Cuff) Cuff Analog Dial Simple Metal Cuff Watch",9.75
Analog Dial Textured Metal Cuff Watch,JEWELRY;WATCH/,images/20200130/WA11028-@SILVER@CUFF-1D-225D@474044@975@03.jpg,images/20200130/des_img/WA11028-@SILVER@CUFF-1D-225D@474044@975@03@1.jpg,"Style No : 474044 Color : Silver  Size : 1"" D(Dial), 2.25"" D (Cuff) Cuff Analog Dial Textured Metal Cuff Watch",9.75
Analog Dial Textured Metal Cuff Watch,JEWELRY;WATCH/,images/20200130/WA11028-@TT@CUFF-1D-225D@474046@975@03.jpg,images/20200130/des_img/WA11028-@TT@CUFF-1D-225D@474046@975@03@1.jpg,"Style No : 474046 Color : Gold, Silver  Size : 1"" D(Dial), 2.25"" D (Cuff) Cuff Analog Dial Textured Metal Cuff Watch",9.75
Analog Dial Rhinestone Crystal Cuff Watch,JEWELRY;WATCH/,images/20200130/WA11015-@TT@CUFF-1D-225D@474059@1125@03.jpg,images/20200130/des_img/WA11015-@TT@CUFF-1D-225D@474059@1125@03@1.jpg,"Style No : 474059 Color : Clear, Gold, Silver  Size : 1"" D(Dial), 2.25"" D (Cuff) Cuff Analog Dial Rhinestone Crystal Cuff Watch",11.25
Analog Dial Rhinestone Crystal Cuff Watch,JEWELRY;WATCH/,images/20200130/WA11015-@SILVER@CUFF-1D-225D@474061@1125@03.jpg,images/20200130/des_img/WA11015-@SILVER@CUFF-1D-225D@474061@1125@03@1.jpg,"Style No : 474061 Color : Clear, Silver  Size : 1"" D(Dial), 2.25"" D (Cuff) Cuff Analog Dial Rhinestone Crystal Cuff Watch",11.25
Analog Dial Rhinestone Crystal Cuff Watch,JEWELRY;WATCH/,images/20200130/WA11015-@GOLD@CUFF-1D-225D@474063@1125@03.jpg,images/20200130/des_img/WA11015-@GOLD@CUFF-1D-225D@474063@1125@03@1.jpg,"Style No : 474063 Color : Clear, Gold  Size : 1"" D(Dial), 2.25"" D (Cuff) Cuff Analog Dial Rhinestone Crystal Cuff Watch",11.25
