Product Name,Category,Product Image File - 1,Product Image File - 2,Product Description,Cost Price
Metal Open Circle Pendant Necklace,JEWELRY;NECKLACE/METAL,images/20190402/PDN1153-WG-19_3L-15X15-17L-434035-450-01.jpg,images/20190402/des_img/PDN1153-WG-19_3L-15X15-17L-434035-450-01-1.jpg,"Style No : 434035 Color : Worn Gold  Necklace Size : 19"" + 3"" L  Pendant Size : 1.5"" X 1.5"" Earring Size :1.7"" L Metal Open Circle Pendant Necklace",4.50
Metal Open Teardrop Pendant Necklace,JEWELRY;NECKLACE/METAL,images/20190402/PDN1151-WG-19_3L-12X175-175L-434032-450-01.jpg,images/20190402/des_img/PDN1151-WG-19_3L-12X175-175L-434032-450-01-1.jpg,"Style No : 434032 Color : Worn Gold  Necklace Size : 19"" + 3"" L  Pendant Size : 1.2"" X 1.75"" Earring Size : 1.75"" L Lead and Nickel Compliant Metal Open Teardrop Pendant Necklace",4.50
Metal Star Bead Station Long Necklace,JEWELRY;NECKLACE/FASHION,images/20190402/LN0282-GD-MLT1-32_3L-025L-434039-525-01.jpg,images/20190402/des_img/LN0282-GD-MLT1-32_3L-025L-434039-525-01-1.jpg,"Style No : 434039 Color : Gold, Multi Theme : Star  Necklace Size : 32"" + 3"" L  Decor  Size : 0.25"" L Lead and Nickel Compliant Metal Star Bead Station Long Necklace",5.25
Puka Shell Metal Seahorse Pendant Double Layer Necklace,JEWELRY;NECKLACE/FASHION,images/20190403/FN2162-WG-24_3L-45L-434146-300-01.jpg,images/20190403/des_img/FN2162-WG-24_3L-45L-434146-300-01-1.jpg,"Style No : 434146 Color : Neutral, Worn Gold Theme : Sea Life, Seahorse, Shell  Necklace Size : 24"" + 3"" L  Decor  Size : 4.5"" L Lead and Nickel Compliant Puka Shell Metal Seahorse Pendant Double Layer Necklace",3.00
Puka Shell Metal Seahorse Pendant Double Layer Necklace,JEWELRY;NECKLACE/FASHION,images/20190403/FN2162-AD-24_3L-45L-434145-300-01.jpg,images/20190403/des_img/FN2162-AD-24_3L-45L-434145-300-01-1.jpg,"Style No : 434145 Color : Worn Silver Theme : Sea Life, Seahorse, Shell  Necklace Size : 24"" + 3"" L  Decor  Size : 4.5"" L Lead and Nickel Compliant Puka Shell Metal Seahorse Pendant Double Layer Necklace",3.00
Puka Shell Metal Mermaid Pendant Double Layer Necklace,JEWELRY;NECKLACE/FASHION,images/20190403/FN2160-WG-24_3L-45L-434142-300-01.jpg,images/20190403/des_img/FN2160-WG-24_3L-45L-434142-300-01-1.jpg,"Style No : 434142 Color : Neutral, Worn Gold Theme : Mermaid, Sea Life, Shell  Necklace Size : 24"" + 3"" L  Decor  Size : 4.5"" L Puka Shell Metal Mermaid Pendant Double Layer Necklace",3.00
Round Abalone Metal Mermaid Pendant Necklace,JEWELRY;NECKLACE/FASHION,images/20190403/PDN04619-S-TT-AB-18_3L-075X1-125L-434159-450-01.jpg,images/20190403/des_img/PDN04619-S-TT-AB-18_3L-075X1-125L-434159-450-01-1.jpg,"Style No : 434159 Color : Abalone, Gold, Silver Theme : Mermaid, Sea Life  Necklace Size : 18"" + 3"" L  Pendant Size : 0.75"" X 1""  Earring Size : 1.25"" L Lead and Nickel Compliant Round Abalone Metal Mermaid Pendant Necklace",4.50
Round Abalone Metal Anchor Pendant Necklace,JEWELRY;NECKLACE/FASHION,images/20190403/PDN04618-S-TT-AB-18_3L-075X1-125L-434157-450-01.jpg,images/20190403/des_img/PDN04618-S-TT-AB-18_3L-075X1-125L-434157-450-01-1.jpg,"Style No : 434157 Color : Abalone, Gold, Silver Theme : Anchor  Necklace Size : 18"" + 3"" L  Pendant Size : 0.75"" X 1""  Earring Size : 1.25"" L Lead and Nickel Compliant Round Abalone Metal Anchor Pendant Necklace",4.50
Round Abalone Metal Seahorse Pendant Necklace,JEWELRY;NECKLACE/FASHION,images/20190403/PDN04616-S-TT-AB-18_3L-075X1-125L-434153-450-01.jpg,images/20190403/des_img/PDN04616-S-TT-AB-18_3L-075X1-125L-434153-450-01-1.jpg,"Style No : 434153 Color : Abalone, Gold, Silver Theme : Sea Life, Seahorse  Necklace Size : 18"" + 3"" L  Pendant Size : 0.75"" X 1""  Earring Size : 1.25"" L Lead and Nickel Compliant Round Abalone Metal Seahorse Pendant Necklace",4.50
Semi Circle Pattern Print Wood Necklace,JEWELRY;NECKLACE/FASHION,images/20190403/FN1735-WG-PJA-17_3L-08L-01L-434111-750-02.jpg,images/20190403/des_img/FN1735-WG-PJA-17_3L-08L-01L-434111-750-02-1.jpg,"Style No : 434111 Color : Brown, Worn Gold Theme : Wood  Necklace Size : 17"" + 3"" L  Decor Size : 0.8"" L Earring Size : 0.1"" L Lead and Nickel Compliant Semi Circle Pattern Print Wood Necklace",7.50
Metal Leaf Filigree Pendant Necklace,JEWELRY;NECKLACE/METAL,images/20190402/PDN1765-WS-WG-24_3L-1X25-433979-300-01.jpg,images/20190402/des_img/PDN1765-WS-WG-24_3L-1X25-433979-300-01-1.jpg,"Style No : 433979 Color : Worn Gold, Worn Silver Theme : Filigree, Flower & Leaf  Necklace Size : 24"" + 3"" L  Pendant Size : 1"" X 2.5"" Metal Leaf Filigree Pendant Necklace",3.00
Metal Leaf Filigree Pendant Necklace,JEWELRY;NECKLACE/METAL,images/20190402/PDN1765-WG-WS-24_3L-1X25-433977-300-01.jpg,images/20190402/des_img/PDN1765-WG-WS-24_3L-1X25-433977-300-01-1.jpg,"Style No : 433977 Color : Worn Gold, Worn Silver Theme : Filigree, Flower & Leaf  Necklace Size : 24"" + 3"" L  Pendant Size : 1"" X 2.5"" Metal Leaf Filigree Pendant Necklace",3.00
Open Circle Coil Wire Pendant Necklace,JEWELRY;NECKLACE/PENDANT,images/20190402/PDN1764-WS-WG-24_3L-2X225-433976-300-01.jpg,images/20190402/des_img/PDN1764-WS-WG-24_3L-2X225-433976-300-01-1.jpg,"Style No : 433976 Color : Worn Gold, Worn Silver  Necklace Size : 24"" + 3"" L  Pendant Size : 2"" X 2.25"" Open Circle Coil Wire Pendant Necklace",3.00
Open Circle Coil Wire Pendant Necklace,JEWELRY;NECKLACE/PENDANT,images/20190402/PDN1764-OG-COP-24_3L-2X225-433974-300-01.jpg,images/20190402/des_img/PDN1764-OG-COP-24_3L-2X225-433974-300-01-1.jpg,"Style No : 433974 Color : Copper, Patina Verdigris  Necklace Size : 24"" + 3"" L  Pendant Size : 2"" X 2.25"" Open Circle Coil Wire Pendant Necklace",3.00
Metal Filigree Tassel Pendant Long Necklace,JEWELRY;NECKLACE/METAL,images/20190402/LN4412-WS-32_3L-18X5-433930-425-01.jpg,images/20190402/des_img/LN4412-WS-32_3L-18X5-433930-425-01-1.jpg,"Style No : 433930 Color : Worn Silver Theme : Filigree, Tassel  Necklace Size : 32"" + 3"" L  Pendant Size : 1.8"" X 5"" Lead and Nickel Compliant Metal Filigree Tassel Pendant Long Necklace",4.25
Metal Filigree Tassel Pendant Long Necklace,JEWELRY;NECKLACE/METAL,images/20190402/LN4412-WG-32_3L-18X5-433929-425-01.jpg,images/20190402/des_img/LN4412-WG-32_3L-18X5-433929-425-01-1.jpg,"Style No : 433929 Color : Worn Gold Theme : Filigree, Tassel  Necklace Size : 32"" + 3"" L  Pendant Size : 1.8"" X 5"" Lead and Nickel Compliant Metal Filigree Tassel Pendant Long Necklace",4.25
Natural Stone Oval Pendant Necklace,JEWELRY;NECKLACE/FASHION,images/20190329/PDN0969-RH-CO-15_3L-075X04-02L-433348-250-01.jpg,images/20190329/des_img/PDN0969-RH-CO-15_3L-075X04-02L-433348-250-01-1.jpg,"Style No : 433348 Color : Coral, Rhodium  Necklace Size : 15"" + 3"" L  Pendant Size : 0.75"" x 0.4""   Earring Size: 0.2"" L Lead and Nickel Compliant Natural Stone Oval Pendant Necklace",2.50
Natural Stone Oval Pendant Necklace,JEWELRY;NECKLACE/FASHION,images/20190329/PDN0969-GD-CO-15_3L-075X04-02L-433345-250-01.jpg,images/20190329/des_img/PDN0969-GD-CO-15_3L-075X04-02L-433345-250-01-1.jpg,"Style No : 433345 Color : Coral, Gold  Necklace Size : 15"" + 3"" L  Pendant Size : 0.75"" x 0.4""   Earring Size: 0.2"" L Lead and Nickel Compliant Natural Stone Oval Pendant Necklace",2.50
Be Brave _ Disc Pendant Necklace Gift Bag Set,JEWELRY;NECKLACE/METAL,images/20170908/PDN6280-24-GD-16_3L-07X07-Bag275x35-359882-350-01.jpg,images/20170908/des_img/PDN6280-24-GD-16_3L-07X07-Bag275x35-359882-350-01-1.jpg,"Style No : 359882 Color : Gold Theme : Arrow, Message  Necklace Size : 16"" + 3"" L Pendant Size : 0.7"" X 0.7"" Bag Size : 2.75"" X 3.5"" Be Brave _ Disc Pendant Necklace Gift Bag Set",3.50
Be Brave _ Disc Pendant Necklace Gift Bag Set,JEWELRY;NECKLACE/METAL,images/20170908/PDN6280-24-RH-16_3L-07X07-Bag275x35-359884-350-01.jpg,images/20170908/des_img/PDN6280-24-RH-16_3L-07X07-Bag275x35-359884-350-01-1.jpg,"Style No : 359884 Color : Rhodium Theme : Arrow, Message  Necklace Size : 16"" + 3"" L Pendant Size : 0.7"" X 0.7"" Bag Size : 2.75"" X 3.5"" Be Brave _ Disc Pendant Necklace Gift Bag Set",3.50
Gold Dipped Double Heart Pendant Collar Necklace,JEWELRY;NECKLACE/METAL,images/20190328/CN1568-RG-14_1L-04X04-433293-450-01.jpg,images/20190328/des_img/CN1568-RG-14_1L-04X04-433293-450-01-1.jpg,"Style No : 433293 Color : Rose Gold  Theme : Heart  Necklace Size : 14"" + 1"" L  Pendant Size : 0.4"" X 0.4"" Lead and Nickel Compliant Made In Korea Gold Dipped Gold Dipped Double Heart Pendant Collar Necklace",4.50
Gold Dipped Cubic Zirconia Ring Pendant Necklace,JEWELRY;NECKLACE/FASHION,images/20190328/PDN1555-RG-C-CZ-155_2L-02X03-433317-525-01.jpg,images/20190328/des_img/PDN1555-RG-C-CZ-155_2L-02X03-433317-525-01-1.jpg,"Style No : 433317 Color : Clear, Rose Gold   Necklace Size : 15.5"" + 2"" L  Pendant Size : 0.2"" X 0.3"" Lead and Nickel Compliant Made In Korea Gold Dipped CZ Cubic Zirconia  Gold Dipped Cubic Zirconia Ring Pendant Necklace",5.25
Gold Dipped Cubic Zirconia Cherry Pendant Necklace,JEWELRY;NECKLACE/FASHION,images/20190328/PDN1551-RG-C-CZ-155_2L-04X05-433314-525-01.jpg,images/20190328/des_img/PDN1551-RG-C-CZ-155_2L-04X05-433314-525-01-1.jpg,"Style No : 433314 Color : Clear, Rose Gold  Theme : Fruits/Food  Necklace Size : 15.5"" + 2"" L  Pendant Size : 0.4"" X 0.5"" Lead and Nickel Compliant Made In Korea Gold Dipped CZ Cubic Zirconia  Gold Dipped Cubic Zirconia Cherry Pendant Necklace",5.25
Brass Metal Triple Irregular Rectangle Pendant Necklace,JEWELRY;NECKLACE/METAL,images/20190328/PDN537-GD-16_3L-06X1-433016-450-01.jpg,images/20190328/des_img/PDN537-GD-16_3L-06X1-433016-450-01-1.jpg,"Style No : 433016 Color : Gold  Necklace Size : 16"" + 3"" L  Pendant Size : 0.6"" X 1"" Lead and Nickel Compliant Made In Korea Brass Brass Metal Triple Irregular Rectangle Pendant Necklace",4.50
'i Love You Mama' Metal Heart Pendant Necklace,JEWELRY;NECKLACE/FASHION,images/20190327/PDN2057-AS-RED-18_3L-1X125-432900-300-01.jpg,images/20190327/des_img/PDN2057-AS-RED-18_3L-1X125-432900-300-01-1.jpg,"Style No : 432900 Color : Red, Silver Theme : Heart, Message  Necklace Size : 18"" + 3"" L Pendant Size : 1"" X 1.25"" Lead and Nickel Compliant 'I Love You Mama' Metal Heart Pendant Necklace",3.00
Twisted Multi-strand Pearl Necklace,JEWELRY;NECKLACE/FASHION,images/20181213/PN011-R-LM-18_3L-2L-175L-419653-525-04.jpg,images/20181213/des_img/PN011-R-LM-18_3L-2L-175L-419653-525-04-1.jpg,"Style No : 419653 Color : Green, Rhodium Theme : Pearl  Necklace Size : 18"" + 3"" L Decor Size : 3"" L Earring Size : 2"" L Lead and Nickel Compliant Twisted Multi-Strand Pearl Necklace",5.25
Twisted Multi-strand Pearl Necklace,JEWELRY;NECKLACE/FASHION,images/20181213/PN011-R-PA-18_3L-2L-175L-419655-525-04.jpg,images/20181213/des_img/PN011-R-PA-18_3L-2L-175L-419655-525-04-1.jpg,"Style No : 419655 Color : Pink, Rhodium Theme : Pearl  Necklace Size : 18"" + 3"" L Decor Size : 3"" L Earring Size : 2"" L Lead and Nickel Compliant Twisted Multi-Strand Pearl Necklace",5.25
Twisted Multi Strand Pearl Necklace,JEWELRY;NECKLACE/FASHION,images/20181213/PN011-R-WH-18_3L-2L-15L-419657-525-04.jpg,images/20181213/des_img/PN011-R-WH-18_3L-2L-15L-419657-525-04-1.jpg,"Style No : 419657 Color : Rhodium, White Theme : Pearl  Necklace Size : 18"" + 3"" L Decor Size : 3"" L Earring Size : 2"" L Lead and Nickel Compliant Twisted Multi Strand Pearl Necklace",5.25
Embossed Metal Dragonfly Pendant Necklace,JEWELRY;NECKLACE/PENDANT,images/20190327/PDN14620-AWG-17_3L-1X12-01L-432962-225-01.jpg,images/20190327/des_img/PDN14620-AWG-17_3L-1X12-01L-432962-225-01-1.jpg,"Style No : 432962 Color : Antique Gold Theme : Bug  Necklace Size : 17"" + 3"" L Pendant Size : 1"" X 1.2""  Earring Size : 0.1""  L Lead and Nickel Compliant Embossed Metal Dragonfly Pendant Necklace",2.25
