Product Name,Category,Product Image File - 1,Product Image File - 2,Product Description,Cost Price
Rhinestone Cut Out Cage Stretch Bracelet,JEWELRY;BRACELET/STRETCH,images/20170801/SB0331-RD-CR-STR-15H-354360-375-02.jpg,images/20170801/des_img/SB0331-RD-CR-STR-15H-354360-375-02-1.jpg,"Style No : 354360 Color : Clear, Rhodium  Size : 1.5"" H Stretchable Rhinestone Cut out Cage Stretch Bracelet",3.75
Wide Metal Ball Chain Strand  Stretch Bracelet,JEWELRY;BRACELET/FASHION,images/20170801/SB1262-BS-BG-STR-25H-100018-375-03.jpg,,"Style No : 100018 Color : Gold Burnished, Silver Burnished  Size : 0.25"" H Stretchable Wide Metal Ball Chain Strand  Stretch Bracelet",3.75
Crystal Rhinestone Twisted Hinged Bracelet,JEWELRY;BRACELET/EVENING,images/20100924/EVB20610-SV-SI-OR-HGD-075H-23D-98880-900-025.jpg,,"Style No : 98880 Color : Silver  Size : 0.75"" H, 2.3"" D  Hinged Closure Crystal Rhinestone Twisted Hinged Bracelet",9.00
Crystal Rhinestone Twisted Hinged Bracelet,JEWELRY;BRACELET/EVENING,images/20100924/EVB20610-SV-STP-HGD-075H-23D-98914-900-025.jpg,,"Style No : 98914 Color : Brown, Silver  Size : 0.75"" H, 2.3"" D  Hinged Closure Crystal Rhinestone Twisted Hinged Bracelet",9.00
Crystal Rhinestone Twisted Hinged Bracelet,JEWELRY;BRACELET/EVENING,images/20090814/EVB20610-GD-SI-OR-HGD-075H-23D-35924-900-025.jpg,,"Style No : 35924 Color : Gold, Orange, Siam  Size : 0.75"" H, 2.3"" D  Hinged Closure Crystal Rhinestone Twisted Hinged Bracelet",9.00
Crystal Rhinestone Twisted Hinged Bracelet,JEWELRY;BRACELET/EVENING,images/20090814/EVB20610-GD-JT-BR-AB-HGD-075H-23D-35912-900-025.jpg,,"Style No : 35912 Color : Gold, Brown, AB  Size : 0.75"" H, 2.3"" D  Hinged Closure Crystal Rhinestone Twisted Hinged Bracelet",9.00
Crystal Rhinestone Trim Teardrop Glass Stone Evening Bracelet,JEWELRY;BRACELET/EVENING,images/20170731/EVB39-0102-G-AM-06H-7_2L-354287-525-02.jpg,,"Style No : 354287 Color : Amethyst , Gold  Size : 0.6"" H , 0.7"" +2"" L Crystal Rhinestone Trim Teardrop Glass Stone Evening Bracelet",5.25
Glass Crystal Double Teardrop Vine Stretch Evening Bracelet,JEWELRY;BRACELET/EVENING,images/20170214/EVB3173-G-RD-STR-15H-334038-950-04.jpg,,"Style No : 334038 Color : Red, Gold  Size : 1.5"" H  Stretchable Glass Crystal Double Teardrop Vine Stretch Evening Bracelet",9.50
Halloween Ghost Bracelet,JEWELRY;BRACELET/ADJUSTABLE,images/20120404/FB3021-YL-12H-Adj-164160-225-01.jpg,,"Style No : 164160 Color : Yellow, Black, Clear Theme : Halloween  Size : 1/2"" H  Adjustable Halloween Ghost Bracelet",2.25
Skull Charm Bead Bracelet,JEWELRY;BRACELET/ADJUSTABLE,images/20120618/FB03459-MG-GRN-12H-Adj-171739-225-005.jpg,,"Style No : 171739 Color : Clear, Blue, Green, Matte gold Theme : Halloween  Size : 1/2"" H / Adjustable Skull Charm Bead Bracelet",2.25
