url,# of Pages,# of Products,Product Category,update
https://www.wonatrading.com/jewelry/stainless-steel,1,7,stainless-steel,False
https://www.wonatrading.com/jewelry/watch,1,84,watch,True
https://www.wonatrading.com/jewelry/jewelry-component,1,79,jewelry-component,False
https://www.wonatrading.com/jewelry/jewelry-display,1,34,jewelry-display,False
https://www.wonatrading.com/jewelry/anklet,2,114,anklet,False
https://www.wonatrading.com/jewelry/body-jewelry,2,132,body-jewelry,False
https://www.wonatrading.com/jewelry/pendant-set,3,290,pendant-set,False
https://www.wonatrading.com/jewelry/mask,4,389,mask,True
https://www.wonatrading.com/jewelry/brooch,7,687,brooch,False
https://www.wonatrading.com/jewelry/ring,8,796,ring,False
https://www.wonatrading.com/jewelry/cubic-zirconia,15,1407,cubic-zirconia,True
https://www.wonatrading.com/jewelry/necklace,73,7210,necklace,True
https://www.wonatrading.com/jewelry/bracelet,84,8357,bracelet,True
https://www.wonatrading.com/jewelry/earring,136,13536,earring,True
